date,weekday,n_pickups,demand_modules,cost_opt_eur,cost_asap_eur,saving_eur,saving_pct,energy_opt_kwh,energy_asap_kwh,price_mean,price_min,price_max,price_spread_p90_p10,n_mill_runs_opt,n_mill_eco_opt,n_press_runs_opt,n_mill_runs_asap,n_press_runs_asap,peak_load_opt_kw,peak_load_asap_kw,H_end_opt,M_end_opt,H_end_asap,M_end_asap,H_mean_opt,M_mean_opt,H_mean_asap,M_mean_asap,energy_shifted_kwh,solve_time_s,termination_condition,n_mill_active_window_opt,n_press_active_window_opt,window_mill_cap,window_press_cap
2024-02-19,Monday,2,340,9.2359,11.7729,2.5369,21.549,136.4541,167.2863,73.018,60.99,97.65,21.37,2,2,7,3,8,22.542,23.744,100.0,0.0,60.0,40.0,112.5,106.607,52.857,153.75,36.0264,2.097,optimal,5,15,8,20
2024-02-20,Tuesday,2,310,10.124,9.6532,-0.4708,-4.877,166.6376,151.5499,65.8,51.42,90.89,26.76,3,1,8,3,7,23.744,23.744,80.0,10.0,80.0,10.0,75.357,62.857,69.286,120.714,64.6851,1.376,optimal,5,14,8,20
2024-02-21,Wednesday,2,240,10.4051,10.7052,0.3001,2.804,179.7872,167.2863,62.225,45.98,85.11,19.12,4,2,8,3,8,23.744,23.744,160.0,90.0,60.0,90.0,58.571,87.321,52.857,153.75,78.3776,2.209,optimal,5,14,8,20
2024-02-22,Thursday,2,310,6.7226,10.4751,3.7525,35.823,121.3664,151.5499,61.993,24.48,81.91,31.64,2,1,6,3,7,23.867,23.744,120.0,20.0,80.0,60.0,73.214,82.679,69.286,156.25,89.7631,1.897,optimal,3,11,8,20
2024-02-23,Friday,1,190,6.9146,3.7413,-3.1733,-84.819,151.5499,76.744,57.727,33.6,86.44,46.91,3,0,7,1,4,24.133,23.744,140.0,110.0,20.0,30.0,91.786,105.0,23.571,89.286,42.6381,1.135,optimal,3,10,8,20
2024-02-26,Monday,2,230,9.731,8.8777,-0.8534,-9.613,150.2525,135.8135,70.084,58.19,85.32,23.18,3,2,7,3,6,24.256,23.744,160.0,160.0,80.0,40.0,136.429,172.857,69.286,75.714,41.7014,1.888,optimal,4,12,8,20
2024-02-27,Tuesday,2,340,8.0439,12.3158,4.2719,34.686,120.7177,167.2863,79.789,59.25,111.8,45.91,2,2,6,3,8,22.419,23.744,120.0,60.0,60.0,20.0,126.071,199.464,52.857,153.036,66.6147,1.084,optimal,4,12,8,20
2024-02-28,Wednesday,2,290,7.9928,11.3335,3.3407,29.476,120.7177,151.5499,75.403,60.72,104.49,31.73,2,2,6,3,7,22.419,23.744,80.0,10.0,80.0,10.0,85.357,107.143,69.286,110.714,51.9733,2.671,optimal,4,12,8,20
2024-02-29,Thursday,2,230,11.3701,7.4975,-3.8726,-51.652,179.7872,122.0151,67.809,53.98,86.26,26.27,4,2,8,2,6,23.744,23.744,160.0,100.0,40.0,20.0,58.214,103.571,40.0,98.571,64.9633,3.204,optimal,5,14,8,20
2024-03-01,Friday,2,340,9.3742,14.8307,5.4565,36.792,136.4541,196.8211,75.479,63.08,93.73,24.77,2,2,7,4,9,22.419,23.744,80.0,40.0,80.0,40.0,88.214,173.75,58.571,112.321,82.0858,1.513,optimal,4,13,8,20
2024-03-04,Monday,2,280,10.4092,12.4994,2.0902,16.723,151.5499,167.2863,78.926,61.1,105.18,40.47,3,0,7,3,8,23.744,23.744,100.0,40.0,60.0,80.0,75.357,107.321,52.857,163.75,65.7319,5.038,optimal,6,15,8,20
